route_id,tls_id,junction_id,emergency_incoming_edge,emergency_outgoing_edge,distance_from_route_start_m,emergency_link_index,green_phase_indices,yellow_phase_indices,all_red_or_clearance_phase_indices,current_program_id,phase_count,phase_duration_list,phase_state_list,is_controllable,audit_status,audit_reason
ER_ACC_002,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001809_11203001817_13721232729,289213613#0,289213613#3,2773.48,16,6,7,1 3 5 7 9 11 15 17 19,0,20,31 6 31 6 31 6 31 6 31 6 31 6 31 6 31 6 31 6 31 6,GrrrGrrrrrrrrrrrrrrrrrrrrrrrrr|yrrryrrrrrrrrrrrrrrrrrrrrrrrrr|rGGGrGGGrrrrrrrrrrrrrrGrrrrrrr|ryyyryyyrrrrrrrrrrrrrryrrrrrrr|rrrrrrrrGGGGGGGGrrrGGGrrrrrrrr|rrrrrrrryyyyyyyyrrryyyrrrrrrrr|rrrrrrrrrrrrrrrrGrrrrrrrrrrrrr|rrrrrrrrrrrrrrrryrrrrrrrrrrrrr|rrrrrrrrrrrrrrrrrGrrrrrrrrrrrr|rrrrrrrrrrrrrrrrryrrrrrrrrrrrr|rrrrrrrrrrrrrrrrrrGrrrrrrrrrrr|rrrrrrrrrrrrrrrrrryrrrrrrrrrrr|rGGGrGGGrrrrrrrrrrrrrrGGGrrrrr|rGGGrGGGrrrrrrrrrrrrrryyyrrrrr|rGGGrGGGrrrrrrrrrrrrrrrrrGGGrr|ryyyryyyrrrrrrrrrrrrrrrrryyyrr|rrrrrrrrrrrrrrrrrrrrrrrrrrrrGr|rrrrrrrrrrrrrrrrrrrrrrrrrrrryr|rrrrrrrrrrrrrrrrrrrrrrrrrrrrrG|rrrrrrrrrrrrrrrrrrrrrrrrrrrrry,True,PASS,ok
ER_ACC_002,joinedS_11203001806_11203001814_13721232731_5851251250_#6more,cluster_11203001815_1936511434_5851251259,619342756,585341917,2787.33,24,12,13,1 3 5 7 9 11 15 17 19,0,20,31 6 31 6 31 6 31 6 31 6 31 6 31 6 31 6 31 6 31 6,GrrrGrrrrrrrrrrrrrrrrrrrrrrrrr|yrrryrrrrrrrrrrrrrrrrrrrrrrrrr|rGGGrGGGrrrrrrrrrrrrrrGrrrrrrr|ryyyryyyrrrrrrrrrrrrrryrrrrrrr|rrrrrrrrGGGGGGGGrrrGGGrrrrrrrr|rrrrrrrryyyyyyyyrrryyyrrrrrrrr|rrrrrrrrrrrrrrrrGrrrrrrrrrrrrr|rrrrrrrrrrrrrrrryrrrrrrrrrrrrr|rrrrrrrrrrrrrrrrrGrrrrrrrrrrrr|rrrrrrrrrrrrrrrrryrrrrrrrrrrrr|rrrrrrrrrrrrrrrrrrGrrrrrrrrrrr|rrrrrrrrrrrrrrrrrryrrrrrrrrrrr|rGGGrGGGrrrrrrrrrrrrrrGGGrrrrr|rGGGrGGGrrrrrrrrrrrrrryyyrrrrr|rGGGrGGGrrrrrrrrrrrrrrrrrGGGrr|ryyyryyyrrrrrrrrrrrrrrrrryyyrr|rrrrrrrrrrrrrrrrrrrrrrrrrrrrGr|rrrrrrrrrrrrrrrrrrrrrrrrrrrryr|rrrrrrrrrrrrrrrrrrrrrrrrrrrrrG|rrrrrrrrrrrrrrrrrrrrrrrrrrrrry,True,PASS,ok
ER_ACC_003,cluster_1326096615_3849700763,cluster_1326096615_3849700763,-381802847#2,-183272625#1,60.4,0,2,3,1 3,0,6,27 3 27 3 27 3,rrrrrrrrGGGgrrrrGGgg|rrrrrrrryyyyrrrryyyy|GGggrrrrrrrrGGGgrrrr|yyyyrrrrrrrryyyyrrrr|rrrrGGGGGrrrrrrrrrrr|rrrryyyyGrrrrrrrrrrr,True,PASS,ok
ER_ACC_003,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,395.58,0,0,1,,0,4,39 6 39 6,GGgrrGGG|yyyrrGyy|rrrGGGrr|rrryyGrr,True,PASS,ok
ER_ACC_003,cluster_3846534041_436877431,cluster_3846534041_436877431,180368918#3,180368918#5,395.58,1,0,1,,0,4,39 6 39 6,GGgrrGGG|yyyrrGyy|rrrGGGrr|rrryyGrr,True,PASS,ok
ER_ACC_003,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,cluster_13348213189_13348213190_13348213191,-1455512070,-1455512069,736.03,12,0,1,,0,4,39 6 39 6,GGGGrrGGGGGGGGgrrrrGGGgrrrr|GGyyrrGGGGGyyyyrrrryyyyrrrr|GGrrGGGGGGGrrrrGGGgrrrrGGGg|GGrryyGGGGGrrrryyyyrrrryyyy,True,PASS,ok
ER_ACC_003,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,cluster_13348213189_13348213190_13348213191,-1455512070,-1455512069,736.03,13,0,1,,0,4,39 6 39 6,GGGGrrGGGGGGGGgrrrrGGGgrrrr|GGyyrrGGGGGyyyyrrrryyyyrrrr|GGrrGGGGGGGrrrrGGGgrrrrGGGg|GGrryyGGGGGrrrryyyyrrrryyyy,True,PASS,ok
ER_ACC_003,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,4273893706,-1455512069,428260110,810.55,0,0 1 2 3,,,0,4,39 6 39 6,GGGGrrGGGGGGGGgrrrrGGGgrrrr|GGyyrrGGGGGyyyyrrrryyyyrrrr|GGrrGGGGGGGrrrrGGGgrrrrGGGg|GGrryyGGGGGrrrryyyyrrrryyyy,True,PASS,ok
ER_ACC_003,joinedS_4273893706_4273893707_7335400058_cluster_13348213189_13348213190_13348213191,4273893706,-1455512069,428260110,810.55,1,0 1 2 3,,,0,4,39 6 39 6,GGGGrrGGGGGGGGgrrrrGGGgrrrr|GGyyrrGGGGGyyyyrrrryyyyrrrr|GGrrGGGGGGGrrrrGGGgrrrrGGGg|GGrryyGGGGGrrrryyyyrrrryyyy,True,PASS,ok
ER_ACC_003,7335400049,7335400049,218773869#7,218773869#8,1402.01,0,0,1,1 2,0,3,79 6 5,GG|yy|rr,True,PASS,ok
